repo_id,repo_name,month,cumulative_stars,cumulative_forks,monthly_downloads,new_issues,new_pull_requests,monthly_commits,star_growth_rate
R00908,UDIQU28,2024-04,48000,11418,15049,111,25,84,0.0412
R00908,UDIQU28,2024-05,52206,10501,37793,118,28,78,-0.0097
R00908,UDIQU28,2024-05,56992,14528,41415,111,33,86,0.0444
R00908,UDIQU28,2024-06,59560,17437,38212,132,27,75,0.1079
R00908,UDIQU28,2024-07,66980,8493,38732,130,20,71,0.0638
R00908,UDIQU28,2024-08,68857,12404,46464,111,25,79,0.1346
R00908,UDIQU28,2024-09,74994,4601,68353,115,23,66,0.0297
R00908,UDIQU28,2024-10,76720,14424,36431,114,18,80,0.0133
R00908,UDIQU28,2024-11,80539,4361,77850,126,20,75,0.1463
R00908,UDIQU28,2024-12,91806,22371,49586,116,20,80,-0.0162
R00908,UDIQU28,2025-01,88506,24742,99867,139,22,80,0.0512
R00908,UDIQU28,2025-02,96953,7795,43547,117,29,77,0.0531
R00908,UDIQU28,2025-03,98295,26706,36494,100,18,71,0.0186
R00908,UDIQU28,2025-04,100295,5806,79876,118,31,87,-0.0092
R00908,UDIQU28,2025-05,103665,13521,75342,121,17,74,0.1499
R00908,UDIQU28,2025-06,116826,34317,95977,113,21,89,0.0303
R00908,UDIQU28,2025-07,121352,31989,71130,122,22,74,0.1323
R00908,UDIQU28,2025-08,112210,25935,84424,101,23,95,0.1484
R00780,smart-quant,2024-04,44892,3544,11953,208,67,11293,-0.0062
R00780,smart-quant,2024-05,49069,12149,22480,206,64,11497,0.0542
R00780,smart-quant,2024-05,53181,11969,22811,242,68,11185,-0.0051
R00780,smart-quant,2024-06,56943,5914,24919,222,66,11374,0.1154
R00780,smart-quant,2024-07,61145,6932,26053,192,61,11653,0.0551
R00780,smart-quant,2024-08,62623,15755,18726,197,57,11623,0.0278
R00780,smart-quant,2024-09,70200,19057,7084,232,55,11285,0.1241
R00780,smart-quant,2024-10,69359,17625,30906,217,63,11509,0.1256
R00780,smart-quant,2024-11,77622,21496,26805,208,66,11436,0.0872
R00780,smart-quant,2024-12,83821,24440,24066,232,73,11323,0.0515
R00780,smart-quant,2025-01,85565,17194,19570,250,60,11522,0.045
R00780,smart-quant,2025-02,87341,11966,18474,222,68,11419,-0.0189
R00780,smart-quant,2025-03,92096,22883,35212,223,75,11523,-0.0136
R00780,smart-quant,2025-04,94445,18073,43945,221,57,11433,0.1164
R00780,smart-quant,2025-05,96955,7194,33826,225,85,11486,0.1476
R00780,smart-quant,2025-06,112194,25592,35400,207,64,11499,0.053
R00780,smart-quant,2025-07,112594,9675,19729,207,48,11370,0.1357
R00780,smart-quant,2025-08,113964,11684,26582,250,64,11420,0.0967
R00376,omni-embed-core,2024-04,44081,5233,92466,73,41,202,0.0559
R00376,omni-embed-core,2024-05,48376,6505,113616,86,31,215,0.1348
R00376,omni-embed-core,2024-05,51840,9224,73295,92,30,214,0.0838
R00376,omni-embed-core,2024-06,56515,7249,34176,93,38,205,0.0688
R00376,omni-embed-core,2024-07,60353,5604,81354,100,31,224,-0.0174
R00376,omni-embed-core,2024-08,66178,16182,143883,68,49,206,-0.0052
R00376,omni-embed-core,2024-09,66836,9619,91065,78,28,235,0.0307
R00376,omni-embed-core,2024-10,68523,17647,198228,79,36,208,0.1018
R00376,omni-embed-core,2024-11,79496,7254,215490,80,35,218,0.0014
R00376,omni-embed-core,2024-12,78969,14252,82799,101,32,211,0.0632
R00376,omni-embed-core,2025-01,79762,5060,199354,87,34,221,0.043
R00376,omni-embed-core,2025-02,85675,13561,239345,89,28,199,0.0919
R00376,omni-embed-core,2025-03,85376,12536,187815,78,24,226,-0.009
R00376,omni-embed-core,2025-04,92991,11126,186394,84,31,221,0.1405
R00376,omni-embed-core,2025-05,91323,21458,230038,103,38,215,0.1107
R00376,omni-embed-core,2025-06,108781,15360,190827,71,31,231,0.0881
R00376,omni-embed-core,2025-07,113596,31578,267604,74,30,219,-0.0055
R00376,omni-embed-core,2025-08,111843,28551,296775,89,32,222,0.0799
R00926,auto-infer,2024-04,42809,2303,682527,128,64,48,0.0727
R00926,auto-infer,2024-05,46716,13237,947979,129,55,56,0.062
R00926,auto-infer,2024-05,51096,13287,952662,134,54,67,0.0017
R00926,auto-infer,2024-06,52832,4744,972145,134,65,65,0.1044
R00926,auto-infer,2024-07,57380,7848,1152096,132,59,51,0.0539
R00926,auto-infer,2024-08,62558,6332,821405,131,58,58,0.133
R00926,auto-infer,2024-09,67695,6332,812215,114,67,55,0.0915
R00926,auto-infer,2024-10,67352,3754,512122,125,63,70,-0.0018
R00926,auto-infer,2024-11,72465,6003,1724685,121,63,57,-0.004
R00926,auto-infer,2024-12,80718,15009,428794,146,66,66,0.022
R00926,auto-infer,2025-01,84836,23308,1106262,125,79,50,0.0213
R00926,auto-infer,2025-02,89827,4736,421178,127,48,56,-0.0184
R00926,auto-infer,2025-03,94611,19499,695699,100,50,52,0.0741
R00926,auto-infer,2025-04,85695,15564,1890511,129,60,58,0.1397
R00926,auto-infer,2025-05,97973,7142,514856,102,59,53,0.0678
R00926,auto-infer,2025-06,91298,11012,601709,144,67,57,0.1055
R00926,auto-infer,2025-07,110571,12033,880166,135,55,67,0.0801
R00926,auto-infer,2025-08,102685,29213,1945317,139,53,79,0.0902
R00656,hyper-search-rs,2024-04,41558,9989,48583,80,18,106,0.0118
R00656,hyper-search-rs,2024-05,45423,6746,50864,81,24,125,0.0293
R00656,hyper-search-rs,2024-05,49705,11774,36263,83,18,93,0.13
R00656,hyper-search-rs,2024-06,52099,10687,53940,85,18,120,0.1295
R00656,hyper-search-rs,2024-07,55554,13691,30320,85,14,105,-0.0076
R00656,hyper-search-rs,2024-08,60769,13916,62489,85,22,116,0.0991
R00656,hyper-search-rs,2024-09,66306,3495,83170,69,20,105,0.0534
R00656,hyper-search-rs,2024-10,69097,12116,84457,84,23,107,0.0731
R00656,hyper-search-rs,2024-11,74286,16952,67834,84,20,113,0.0347
R00656,hyper-search-rs,2024-12,72930,16386,64854,78,25,118,0.0937
R00656,hyper-search-rs,2025-01,76329,11628,45583,70,22,118,0.1459
R00656,hyper-search-rs,2025-02,85859,25726,83711,69,24,100,0.006
R00656,hyper-search-rs,2025-03,87757,10225,63672,95,14,109,0.0356
R00656,hyper-search-rs,2025-04,91947,6000,121915,95,20,95,0.0002
R00656,hyper-search-rs,2025-05,92198,17333,53134,70,20,108,0.1253
