repo_id,repo_name,dependency_name,dependency_type,is_ml_library
R00001,open-chat,dep-31,optional,False
R00001,open-chat,dep-18,dev,False
R00001,open-chat,dep-10,dev,False
R00002,micro-infer-py,pandas,core,False
R00002,micro-infer-py,sqlalchemy,optional,False
R00002,micro-infer-py,tiktoken,core,False
R00002,micro-infer-py,vllm,dev,True
R00003,easy-token-lib,dep-27,optional,False
R00003,easy-token-lib,dep-16,dev,False
R00003,easy-token-lib,dep-29,optional,False
R00003,easy-token-lib,dep-39,core,False
R00004,deep-graph-craft,dep-29,optional,False
R00004,deep-graph-craft,dep-20,core,False
R00004,deep-graph-craft,dep-18,dev,False
R00004,deep-graph-craft,dep-40,dev,False
R00005,MMT,dep-43,dev,False
R00005,MMT,dep-6,optional,False
R00005,MMT,dep-20,core,False
R00005,MMT,dep-17,optional,False
R00006,poly-serve-box,mlflow,dev,False
R00006,poly-serve-box,redis,dev,False
R00006,poly-serve-box,transformers,optional,True
R00006,poly-serve-box,wandb,core,False
R00006,poly-serve-box,qdrant-client,core,False
R00006,poly-serve-box,optax,optional,True
R00007,GRYX,numpy,optional,False
R00007,GRYX,gradio,core,False
R00007,GRYX,qdrant-client,optional,False
R00007,GRYX,polars,optional,False
R00008,merge-flow,polars,core,False
R00008,merge-flow,click,optional,False
R00008,merge-flow,llama-index,optional,False
R00008,merge-flow,qdrant-client,core,False
R00008,merge-flow,chromadb,core,False
R00008,merge-flow,flax,optional,True
R00008,merge-flow,peft,core,True
R00008,merge-flow,tensorflow,core,True
R00009,CYH,dep-18,optional,False
R00009,CYH,dep-25,dev,False
R00010,fast-grad,pydantic,dev,False
R00010,fast-grad,torch,core,True
R00010,fast-grad,celery,core,False
R00011,trainspark,vllm,core,True
R00011,trainspark,click,optional,False
R00011,trainspark,torch,dev,True
R00011,trainspark,polars,dev,False
R00011,trainspark,tensorflow,dev,True
R00012,next-data-kit,clap,dev,False
R00012,next-data-kit,anyhow,dev,False
R00012,next-data-kit,burn,dev,True
R00012,next-data-kit,tokio,optional,False
R00013,genai,wandb,optional,False
R00013,genai,einops,dev,False
R00013,genai,jax,optional,True
R00013,genai,dask,optional,False
R00013,genai,tiktoken,core,False
R00014,flow-flow,dep-23,dev,False
R00015,dyna-audio-cpp,flask,optional,False
R00015,dyna-audio-cpp,jax,optional,True
R00016,audiospark,optax,dev,True
R00016,audiospark,sqlalchemy,core,False
R00016,audiospark,qdrant-client,core,False
R00016,audiospark,chromadb,dev,False
R00016,audiospark,aiohttp,core,False
R00017,prune-base,dep-27,dev,False
R00017,prune-base,dep-7,dev,False
R00017,prune-base,dep-17,core,False
R00018,netlib,sqlalchemy,dev,False
R00018,netlib,pydantic,core,False
R00018,netlib,scipy,core,False
R00018,netlib,torch,optional,True
R00019,easy-audio-js,optax,core,True
R00019,easy-audio-js,einops,core,False
R00019,easy-audio-js,sqlalchemy,core,False
R00019,easy-audio-js,tiktoken,dev,False
R00019,easy-audio-js,scikit-learn,core,True
